Country,Date,Cumulative_cases,Cases
Arkansas,2022-09-27,58,0
Arkansas,2022-09-28,58,0
Arkansas,2022-09-29,58,0
Arkansas,2022-10-01,58,0
Arkansas,2022-10-03,59,1
California,2022-06-08,8,8
California,2022-06-17,24,16
California,2022-06-22,40,16
California,2022-06-28,66,26
California,2022-07-05,111,45
California,2022-07-07,136,25
California,2022-07-15,266,130
California,2022-07-18,267,1
California,2022-07-19,267,0
California,2022-07-21,356,89
California,2022-07-22,356,0
California,2022-07-25,356,0
California,2022-07-26,356,0
California,2022-07-27,799,443
California,2022-07-28,799,0
California,2022-07-29,799,0
California,2022-08-03,826,27
California,2022-08-10,1892,1066
California,2022-08-12,1945,53
California,2022-08-15,1945,0
California,2022-08-16,1945,0
California,2022-08-17,2356,411
California,2022-08-18,2663,307
California,2022-08-22,2663,0
California,2022-08-23,2663,0
California,2022-08-24,3068,405
California,2022-08-25,3068,0
California,2022-08-26,3291,223
California,2022-08-30,3291,0
California,2022-08-31,3629,338
California,2022-09-01,3629,0
California,2022-09-02,3833,204
California,2022-09-06,3833,0
California,2022-09-07,4140,307
California,2022-09-08,4140,0
California,2022-09-09,4300,160
California,2022-09-12,4300,0
California,2022-09-13,4300,0
California,2022-09-14,4300,0
California,2022-09-18,4656,356
California,2022-09-19,4656,0
California,2022-09-20,4753,97
California,2022-09-21,4753,0
California,2022-09-23,4886,133
California,2022-09-26,4886,0
California,2022-09-27,4886,0
California,2022-09-28,4886,0
California,2022-09-29,4886,0
California,2022-10-01,5010,124
California,2022-10-03,5010,0
Colorado,2022-06-08,3,3
Colorado,2022-06-17,5,2
Colorado,2022-06-22,5,0
Colorado,2022-06-28,7,2
Colorado,2022-07-05,7,0
Colorado,2022-07-07,9,2
Colorado,2022-07-15,20,11
Colorado,2022-07-18,22,2
Colorado,2022-07-19,32,10
Colorado,2022-07-21,31,-1
Colorado,2022-07-22,47,16
Colorado,2022-07-25,53,6
Colorado,2022-07-26,53,0
Colorado,2022-07-27,53,0
Colorado,2022-07-28,53,0
Colorado,2022-07-29,53,0
Colorado,2022-08-03,53,0
Colorado,2022-08-10,111,58
Colorado,2022-08-12,111,0
Colorado,2022-08-15,111,0
Colorado,2022-08-16,155,44
Colorado,2022-08-17,155,0
Colorado,2022-08-18,155,0
Colorado,2022-08-22,155,0
Colorado,2022-08-23,155,0
Colorado,2022-08-24,189,34
Colorado,2022-08-25,189,0
Colorado,2022-08-26,189,0
Colorado,2022-08-30,189,0
Colorado,2022-08-31,198,9
Colorado,2022-09-01,198,0
Colorado,2022-09-02,198,0
Colorado,2022-09-06,198,0
Colorado,2022-09-07,235,37
Colorado,2022-09-08,235,0
Colorado,2022-09-09,235,0
Colorado,2022-09-12,235,0
Colorado,2022-09-13,235,0
Colorado,2022-09-14,235,0
Colorado,2022-09-18,253,18
Colorado,2022-09-19,253,0
Colorado,2022-09-20,253,0
Colorado,2022-09-21,263,10
Colorado,2022-09-23,263,0
Colorado,2022-09-26,263,0
Colorado,2022-09-27,263,0
Colorado,2022-09-28,278,15
Colorado,2022-09-29,278,0
Colorado,2022-10-01,278,0
Colorado,2022-10-03,278,0
Connecticut,2022-07-05,1,1
Connecticut,2022-07-07,1,0
Connecticut,2022-07-15,12,11
Connecticut,2022-07-18,14,2
Connecticut,2022-07-19,13,-1
Connecticut,2022-07-21,16,3
Connecticut,2022-07-22,19,3
Connecticut,2022-07-25,22,3
Connecticut,2022-07-26,24,2
Connecticut,2022-07-27,28,4
Connecticut,2022-07-28,28,0
Connecticut,2022-07-29,33,5
Connecticut,2022-08-03,39,6
Connecticut,2022-08-10,54,15
