"","SAR","Infections","Reff_1","Reff_2","n"
"248",1.49099186000435,0.0210505704500841,0.0670694473138895,0.134138894627779,24700
"249",1.49684403231525,0.0211278293995925,0.0668072276343477,0.133614455268695,24800
"250",1.5027026415793,0.0212050442751288,0.0665467652967609,0.133093530593522,24900
"251",1.50856770112936,0.0212822152014055,0.066288042575177,0.132576085150354,25000
"252",1.51443922421409,0.0213593423023634,0.066031041986445,0.13206208397289,25100
"253",1.52031722399925,0.0214364257011793,0.0657757462859932,0.131551492571986,25200
"254",1.526201713569,0.021513465520274,0.0655221384636973,0.131044276927395,25300
"255",1.53209270592723,0.021590461881319,0.0652702017398351,0.13054040347967,25400
"256",1.53799021399879,0.0216674149052439,0.0650199195611259,0.130039839122252,25500
"257",1.54389425063074,0.0217443247122439,0.0647712755968525,0.129542551193705,25600
"258",1.54980482859359,0.0218211914217863,0.0645242537350639,0.129048507470128,25700
"259",1.55572196058245,0.0218980151526181,0.0642788380788564,0.128557676157713,25800
"260",1.56164565921823,0.0219747960227724,0.0640350129427317,0.128070025885463,25900
"261",1.5675759370488,0.0220515341495755,0.0637927628490298,0.12758552569806,26000
"262",1.57351280655012,0.0221282296496531,0.0635520725244346,0.127104145048869,26100
"263",1.57945628012733,0.0222048826389377,0.063312926896551,0.126625853793102,26200
"264",1.58540637011585,0.0222814932326744,0.063075311090552,0.126150622181104,26300
"265",1.59136308878246,0.0223580615454276,0.0628392104258928,0.125678420851786,26400
"266",1.59732644832637,0.0224345876910876,0.0626046104130919,0.125209220826184,26500
"267",1.60329646088019,0.0225110717828766,0.0623714967505768,0.124742993501154,26600
"268",1.60927313851102,0.0225875139333548,0.0621398553215925,0.124279710643185,26700
"269",1.61525649322141,0.0226639142544268,0.0619096721911724,0.123819344382345,26800
"270",1.62124653695032,0.0227402728573475,0.0616809336031687,0.123361867206337,26900
"271",1.62724328157414,0.0228165898527281,0.061453625977342,0.122907251954684,27000
"272",1.63324673890759,0.0228928653505418,0.0612277359065083,0.122455471813017,27100
"273",1.63925692070466,0.0229690994601301,0.0610032501537425,0.122006500307485,27200
"274",1.64527383865952,0.0230452922902079,0.060780155649636,0.121560311299272,27300
"275",1.65129750440745,0.0231214439488695,0.0605584394896086,0.121116878979217,27400
"276",1.65732792952565,0.0231975545435945,0.0603380889312721,0.120676177862544,27500
"277",1.66336512553421,0.0232736241812527,0.0601190913918456,0.120238182783691,27600
"278",1.66940910389686,0.0233496529681098,0.0599014344456206,0.119802868891241,27700
"279",1.67545987602187,0.0234256410098332,0.0596851058214745,0.119370211642949,27800
