"","SAR","Infections","Reff_1","Reff_2","n"
"1",0.172890028326351,0,0.578402357660779,1.15680471532156,0
"2",0.181057214522938,0.0000998818533084478,0.5523116008577,1.1046232017154,100
"3",0.188869963188369,0.000199533748647562,0.529464814372126,1.05892962874425,200
"4",0.196360153869614,0.000298964313972805,0.509268291093321,1.01853658218664,300
"5",0.203559350050269,0.000398181181129997,0.491257217982398,0.982514435964796,400
"6",0.210497499090026,0.000497191160613308,0.475065026578922,0.950130053157845,500
"7",0.217202221877473,0.000596000379360251,0.460400446807637,0.920800893615274,600
"8",0.223698505539459,0.000694614390222226,0.447030255114336,0.894060510228672,700
"9",0.230008656280583,0.000793038259606194,0.434766245832123,0.869532491664246,800
"10",0.236152409023879,0.000891276638187333,0.423455345695365,0.84691069139073,900
"11",0.24214712263142,0.000989333818414373,0.412972076286916,0.825944152573831,1000
"12",0.248008013762528,0.00108721378164212,0.403212777211917,0.806425554423833,1100
"13",0.253748399883973,0.00118492023706451,0.394091155040683,0.788182310081366,1200
"14",0.259379933998686,0.00128245665412186,0.385534834782195,0.771069669564389,1300
"15",0.26491282168248,0.00137982628967892,0.377482672846459,0.754965345692918,1400
"16",0.270356016165618,0.00147703221098427,0.369882651099359,0.739765302198718,1500
"17",0.275717390360713,0.00157407731520232,0.362690216490055,0.72538043298011,1600
"18",0.281003886576968,0.00167096434614122,0.355866964041472,0.711733928082945,1700
"19",0.286221645638051,0.00176769590867365,0.349379585799942,0.698759171599884,1800
"20",0.291376117556649,0.0018642744812426,0.343199026874802,0.686398053749605,1900
"21",0.296472156027293,0.00196070242677082,0.33729980359705,0.6745996071941,2000
"22",0.301514098920562,0.00205698200223059,0.331659449286139,0.663318898572277,2100
"23",0.30650583678577,0.00215311536707963,0.326258061016614,0.652516122033228,2200
"24",0.311450871151024,0.00224910459073613,0.321077926770381,0.642155853540763,2300
"25",0.31635236418211,0.00234495165923032,0.316103216925651,0.632206433851301,2400
"26",0.321213181043498,0.00244065848115049,0.311319727525311,0.622639455050621,2500
"27",0.326035926105381,0.0025362268929785,0.306714665449715,0.61342933089943,2600
"28",0.330822973963906,0.00263165866389548,0.302276467688457,0.604552935376915,2700
"29",0.33557649608828,0.00272695550012647,0.297994648509867,0.595989297019735,2800
"30",0.340298483777161,0.00282211904888074,0.293859669576087,0.587719339152175,2900
"31",0.344990767995477,0.00291715090193578,0.289862829028836,0.579725658057673,3000
"32",0.349655036569359,0.00301205259890847,0.285996166339115,0.571992332678231,3100
"33",0.354292849138599,0.00310682563024689,0.282252380320778,0.564504760641556,3200
"34",0.358905650200888,0.00320147143997584,0.278624758189312,0.557249516378624,3300
"35",0.36349478052781,0.00329599142822001,0.275107113931033,0.550214227862065,3400
"36",0.368061487187541,0.00339038695353089,0.271693734555407,0.543387469110813,3500
