,SAR,Infections,Reff_1,Reff_2,n
5330,44.6999289,0.22352306,0.00223714,0.00447428,532900
5331,44.72073257,0.223551241,0.002236099,0.004472199,533000
5332,44.74154394,0.22357942,0.002235059,0.004470118,533100
5333,44.76236303,0.223607596,0.00223402,0.004468039,533200
5334,44.78318982,0.223635769,0.002232981,0.004465961,533300
5335,44.80402432,0.22366394,0.002231942,0.004463885,533400
5336,44.82486654,0.223692109,0.002230905,0.004461809,533500
5337,44.84571647,0.223720274,0.002229867,0.004459735,533600
5338,44.86657412,0.223748438,0.002228831,0.004457661,533700
5339,44.88743949,0.223776599,0.002227795,0.004455589,533800
5340,44.90831259,0.223804757,0.002226759,0.004453518,533900
5341,44.92919341,0.223832913,0.002225724,0.004451449,534000
5342,44.95008196,0.223861067,0.00222469,0.00444938,534100
5343,44.97097825,0.223889218,0.002223656,0.004447313,534200
5344,44.99188226,0.223917366,0.002222623,0.004445246,534300
5345,45.01279401,0.223945512,0.002221591,0.004443181,534400
5346,45.03371351,0.223973656,0.002220559,0.004441117,534500
5347,45.05464074,0.224001797,0.002219527,0.004439054,534600
5348,45.07557571,0.224029935,0.002218496,0.004436993,534700
5349,45.09651843,0.224058071,0.002217466,0.004434932,534800
5350,45.1174689,0.224086204,0.002216436,0.004432873,534900
5351,45.13842712,0.224114335,0.002215407,0.004430815,535000
5352,45.15939309,0.224142464,0.002214379,0.004428757,535100
5353,45.18036682,0.22417059,0.002213351,0.004426702,535200
5354,45.2013483,0.224198713,0.002212323,0.004424647,535300
5355,45.22233755,0.224226834,0.002211297,0.004422593,535400
5356,45.24333455,0.224254953,0.00221027,0.004420541,535500
5357,45.26433933,0.224283069,0.002209245,0.004418489,535600
5358,45.28535187,0.224311183,0.00220822,0.004416439,535700
5359,45.30637218,0.224339294,0.002207195,0.00441439,535800
5360,45.32740026,0.224367402,0.002206171,0.004412342,535900
5361,45.34843612,0.224395508,0.002205148,0.004410295,536000
5362,45.36947975,0.224423612,0.002204125,0.00440825,536100
5363,45.39053117,0.224451713,0.002203103,0.004406205,536200
5364,45.41159036,0.224479811,0.002202081,0.004404162,536300
5365,45.43265735,0.224507908,0.00220106,0.00440212,536400
5366,45.45373212,0.224536001,0.002200039,0.004400079,536500
5367,45.47481467,0.224564092,0.002199019,0.004398039,536600
5368,45.49590502,0.224592181,0.002198,0.004396,536700
5369,45.51700317,0.224620267,0.002196981,0.004393962,536800
5370,45.53810911,0.224648351,0.002195963,0.004391926,536900
5371,45.55922285,0.224676432,0.002194945,0.004389891,537000
5372,45.5803444,0.224704511,0.002193928,0.004387856,537100
5373,45.60147374,0.224732587,0.002192912,0.004385823,537200
5374,45.6226109,0.224760661,0.002191896,0.004383791,537300
5375,45.64375586,0.224788732,0.00219088,0.00438176,537400
5376,45.66490864,0.224816801,0.002189865,0.004379731,537500
5377,45.68606922,0.224844867,0.002188851,0.004377702,537600
5378,45.70723763,0.224872931,0.002187837,0.004375675,537700
5379,45.72841385,0.224900993,0.002186824,0.004373648,537800
5380,45.7495979,0.224929051,0.002185812,0.004371623,537900
5381,45.77078977,0.224957108,0.0021848,0.004369599,538000
5382,45.79198947,0.224985162,0.002183788,0.004367576,538100
5383,45.81319699,0.225013213,0.002182777,0.004365554,538200
5384,45.83441235,0.225041262,0.002181767,0.004363534,538300
5385,45.85563554,0.225069309,0.002180757,0.004361514,538400
5386,45.87686656,0.225097353,0.002179748,0.004359496,538500
5387,45.89810543,0.225125394,0.002178739,0.004357478,538600
5388,45.91935214,0.225153433,0.002177731,0.004355462,538700
5389,45.94060669,0.22518147,0.002176724,0.004353447,538800
5390,45.96186908,0.225209504,0.002175717,0.004351433,538900
5391,45.98313933,0.225237536,0.00217471,0.00434942,539000
5392,46.00441742,0.225265565,0.002173704,0.004347409,539100
5393,46.02570337,0.225293592,0.002172699,0.004345398,539200
5394,46.04699717,0.225321616,0.002171694,0.004343389,539300
5395,46.06829884,0.225349638,0.00217069,0.00434138,539400
5396,46.08960836,0.225377657,0.002169686,0.004339373,539500
5397,46.11092575,0.225405674,0.002168683,0.004337367,539600
5398,46.132251,0.225433688,0.002167681,0.004335362,539700
5399,46.15358412,0.2254617,0.002166679,0.004333358,539800
5400,46.17492511,0.225489709,0.002165678,0.004331355,539900
5401,46.19627398,0.225517716,0.002164677,0.004329353,540000
