"","date","lower","median","upper"
"cases[59]",59,596.856642125524,606.585456774313,616.213312194024
"cases[60]",60,630.868921901125,640.409765058665,649.867012922154
"cases[61]",61,665.062205884772,674.433634838188,683.719956135559
"cases[62]",62,699.397020254299,708.571991639727,717.66124432816
"cases[63]",63,733.744239894898,742.732018405143,751.668506389599
"cases[64]",64,768.031439106471,776.849170818576,785.652283424876
"cases[65]",65,802.182340370395,810.850934468215,819.521296915154
"cases[66]",66,836.107161673902,844.662742438863,853.202478591334
"cases[67]",67,869.792531528694,878.222589961325,886.641986341064
